radius,grain,bac,limit,filename,accuracy
0.01,15,0.7586287049409668,15,r_ionosphere.csv,0.7414387391967463
15,15,0.03,0.7411809401203884,0.7079461108286731
15,15,0.05,0.7401412340034654,0.6965505846466701
15,15,0.07,0.7326361993177114,0.6915556685307575
15,15,0.09,0.7395446834630219,0.6943848500254195
15,15,0.11,0.7395235827704297,0.6929893238434164
15,15,0.13,0.7411167566758091,0.7008083375699034
15,15,0.15,0.718478356067553,0.6730604982206406
15,15,0.17,0.7345776809395801,0.6922801220132181
15,15,0.19,0.7336962136438893,0.6950889679715303
15,15,0.21,0.7373278969948358,0.687234367056431
15,15,0.23,0.7475272348846588,0.6986553126588714
15,15,0.25,0.7467307496244944,0.7086451448906964
15,15,0.27,0.7288311452614497,0.683029994916116
15,15,0.29,0.7380055804408319,0.6958337569903407
